Country Code,Year,Expense (% of GDP),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"Services, value added (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),Merchandise trade (% of GDP),"Government expenditure on education, total (% of GDP)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Forest rents (% of GDP),Current account balance (% of GDP),Current health expenditure (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)",Access to electricity (% of population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (annual % growth)",Total greenhouse gas emissions (% change from 1990)
ARG,1989,3.800472043,13.05840891,6.479020115,1.341390409,0.08403336625,-7.156949656,48.03609224,10.68419424,19.6377977,17.98350449,1.046120048,15.51469828,21.99356204,0.2473612741,-1.702835101,93.49173169,9.616065096,1.492301731,46.57816559,-8.217715239,96.19918516
ARG,1990,10.32544045,10.35953659,5.728214185,1.298881665,0.02469218349,-2.467213776,55.85444764,4.838513147,14.990859,11.62272705,1.067379951,13.99698158,19.72519799,0.1414861149,3.22032099,88.75499532,8.123676208,18.70897534,46.61287906,8.480510723,44.94432085
ARG,1991,11.20554093,7.675043348,1.597032538,1.285578854,0.02603083387,9.133110566,60.56119851,5.008236547,13.75305416,10.67520645,60.58144841,14.6369774,16.23401502,0.09935012296,-0.341028913,30.26955251,6.71649176,24.11614785,46.64759253,4.093147897,0.2377385638
ARG,1992,11.80110992,6.598187472,-1.534605642,1.936712402,0.5096032811,7.937291556,63.32521644,5.547922134,14.73098059,11.84805448,16.06767352,16.70240577,15.16780375,0.09777700693,-2.424838537,4.692044974,5.990787091,9.23441212,46.682306,0.1879987158,2.094935181
ARG,1993,14.28185612,6.909351534,-2.40444838,1.179802812,0.2978224602,8.206979072,61.05689761,8.015138006,16.22315145,12.63064264,16.14996707,19.68811042,17.28365896,0.0894124204,-3.466178295,88.6341765,5.136826482,37.98696482,46.71701947,2.425672187,3.739461491
ARG,1994,14.90079242,7.529948726,-3.074448415,1.411953029,0.3934291485,5.836200704,61.59079292,8.126437228,18.13434587,14.44453076,97.67137583,19.96562325,16.89119065,0.06723381408,-4.264858985,60.39523675,5.082668,54.41860455,46.75282915,7.277588547,1.648187806
ARG,1995,15.51123069,9.68041026,-0.4106025712,2.17392759,0.5802189072,-2.845209611,62.26377967,8.054357652,19.77142309,15.92400935,76.12404655,18.50041051,18.08975562,0.09685517251,-1.983460274,82.70045327,5.351464616,68.06127211,46.78827343,5.552498334,3.204358665
ARG,1996,15.16554764,10.42859676,-0.6492748937,2.553203406,0.5881868346,5.526689827,61.35099555,8.171787775,21.50646841,17.48044964,3.731980085,19.62387245,18.97459469,0.08479119556,-2.487593011,32.00400522,5.610866113,12.98620592,46.8237177,-0.890091314,8.137620926
ARG,1997,15.01422186,10.5608501,-2.21447864,3.127877939,1.247295798,8.111046771,60.8492831,8.690086356,23.33617884,19.40182818,55.01222678,20.82605155,18.61161477,0.06651287556,-4.144680066,16.45253307,5.221972109,5.81115565,46.85770036,0.608914675,12.4378557
ARG,1998,15.09880054,10.41558196,-2.518864051,2.438768962,0.7778861392,3.850178852,61.53968561,9.030526186,23.35002797,19.3495028,4.039869785,20.97076915,18.45186881,0.05979619429,-4.844316045,13.06881609,5.25272257,38.07513304,46.89241383,8.296077103,16.86693738
ARG,1999,16.7436857,9.827174515,-1.728395933,8.460582171,0.6102795893,-3.385457041,63.48773052,9.076124336,21.38274496,17.2264684,4.521679878,17.86292788,16.13452348,0.05071288635,-4.212295062,52.5725132,4.457826102,38.79886799,46.92237703,2.374349492,25.25990975
ARG,2000,16.83288838,10.98637523,-0.6496943126,3.665790595,0.3170359995,-0.7889989391,63.46931344,9.622603502,22.62244478,18.11904312,4.580309868,17.53348744,16.88379689,0.04009152734,-3.159922377,8.46696377,4.679910944,54.95904103,46.95818671,-1.765876735,24.3461322
ARG,2001,16.9923529,11.57900808,1.305760714,0.8061641348,0.05987295622,-4.408839683,65.08125733,9.324898794,21.85225545,17.44085107,4.833740234,15.62596533,16.93174138,0.03915266944,-1.406947885,8.62096786,4.568589609,95.51106347,46.99326559,1.491126224,22.4827046
ARG,2002,19.67717064,28.382597,15.01246964,2.198958195,-0.6417461143,-10.89448483,54.77644565,9.818958347,41.75272436,35.44676691,4.017340183,10.85390524,25.86632884,0.1963483199,8.970784678,7.64670229,10.20664671,96.10791016,47.0312677,-2.650506664,16.69332595
ARG,2003,19.83730299,25.93094293,11.21713782,1.294810869,0.6064725723,8.837040796,51.03169425,12.5187797,40.64474803,34.01601183,3.535049915,14.1469621,25.36413679,0.1433632085,6.379906802,7.11225414,10.32816694,96.38489532,47.8254753,6.770418038,29.35304954
ARG,2004,16.87634164,23.84761942,7.002592739,2.505017516,0.4105420238,9.029573301,47.83698829,13.1007799,40.69264611,34.62997491,3.486520052,17.55127036,24.55386308,0.1067508202,1.950583243,7.22868299,8.36248661,96.63864899,49.09032444,0.3833247704,38.78714275
ARG,2005,12.85174476,23.24587673,5.940482497,2.649354415,0.6596956647,8.85165992,48.48614593,13.10317565,40.55127097,34.73936257,3.860009909,18.88826414,24.82874662,0.09857878934,2.653631422,7.61078882,7.938754274,96.86739349,50.35188494,18.78847945,34.45090119
ARG,2006,70.9942126,23.0266946,5.619909336,2.381068545,1.048653872,8.0471515,48.74913337,12.8788867,40.43347987,34.70027111,4.128210068,18.68048724,24.30039657,0.1000927017,2.794495643,7.64032841,6.935572291,97.08002472,51.56009632,-0.5255508102,40.15888577
ARG,2007,8.239206563,22.66275031,4.380330004,2.251294236,0.5231559495,9.007650875,49.50833078,12.44826845,40.94517062,34.94759584,4.462600231,20.0991132,24.4794432,0.09523744208,2.103616039,7.83455086,7.452353946,97.28813171,52.63036734,8.537582928,44.26580132
ARG,2008,77.59028052,22.06090038,3.719127386,2.689900965,0.3847057584,4.057233103,50.2551922,13.31784636,40.40267338,35.25851645,4.844409943,19.57277588,23.29190326,0.08694114208,1.499401416,8.1826973,7.318954597,97.5032959,52.71367966,-2.185821337,54.37848988
ARG,2009,78.37849781,19.56098506,5.064843207,1.206439226,0.213692689,-5.918525076,53.306001,12.38304156,34.05712691,28.36776901,5.531050205,16.05311236,21.11795557,0.09906753341,2.178566962,9.45599556,5.273623469,97.73710632,52.54230476,-26.10145648,40.0870453
ARG,2010,87.41643939,18.93382341,2.896633547,2.675161719,0.2277380146,10.12539816,51.49518021,12.85304269,34.97101326,29.50233943,5.019710064,17.70553381,20.60216735,0.1190672844,-0.3831186997,9.44546413,7.132167451,98.82,53.89028352,39.52397782,36.81387061
ARG,2011,26.60312895,18.44920915,1.692263291,2.04464008,0.2806682491,6.003951693,51.81190075,12.6636277,35.206155,29.87192918,5.290629864,18.39845892,20.0907222,0.0824686786,-1.007271039,9.41819859,6.99873377,99.27869415,54.18260746,-2.428483193,39.88599043
ARG,2012,82.20869728,16.23785946,1.949176552,2.8066719,0.1932021298,-1.026420454,53.65811792,12.95284151,30.52654237,27.09904323,5.345829964,16.50198653,18.45116308,0.09252293284,-0.3915951239,9.82726669,5.781744207,99.49785614,54.53814645,-12.87515309,42.67047235
ARG,2013,44.35756856,14.61717339,-0.09958222523,1.779205536,0.1612196246,2.405323781,53.91909367,12.45290276,29.333929,27.24604172,5.436610222,17.3057789,17.20619668,0.1097902834,-2.377495666,9.78097916,6.052918437,99.47655487,54.51804918,11.47661962,44.98024551
ARG,2014,24.56978086,14.40547859,0.4041635335,0.9624066503,0.3649001793,-2.512615321,52.94054347,12.61096661,28.40679365,25.48641191,5.361440182,17.26288101,17.66704454,0.09854902697,-1.74400212,9.67129993,6.712703514,100,54.33571212,3.104253191,90.4019187
ARG,2015,25.00839323,10.70565205,-1.074921988,1.977134618,0.1471600301,2.731159828,55.81490128,12.33650694,22.48622609,19.67030526,5.776110172,17.07070488,15.9957829,0.09937804758,-2.962926665,10.22933769,5.156685902,99.82711792,54.33571212,7.541961722,46.08734026
ARG,2016,26.17991648,12.52709517,-1.039697511,0.5847499317,0.3204359451,-2.080327844,56.12223585,12.09728364,26.09388785,20.40459154,5.545489788,17.66322786,16.62353035,0.1151944013,-2.709226273,9.00189686,6.26456582,99.9591217,54.33571212,-4.716943353,57.39396813
ARG,2017,24.28253204,11.32028336,-2.649034418,1.789364285,0.1795492153,2.818502972,57.34993738,10.93962386,25.28960114,19.51140569,5.462230206,18.21256717,15.56353276,0.1259622299,-4.839957173,10.45704365,5.231622377,100,54.33571212,3.445064617,5.496522281
ARG,2018,23.00305449,14.61983125,-1.935279038,2.293710246,0.3481699583,-2.565351876,55.9260217,10.1312463,31.17494154,24.58586466,37.45137757,16.04690306,17.77413958,0.1501464551,-5.225620201,9.62454033,5.296472124,100,54.36055965,-15.02223734,26.41933892
